date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2020-09-24,CA_NB_1305,0,0,,,53,2,,
2020-09-24,CA_NB_1306,0,0,,,2,0,,
2020-09-24,CA_NB_1307,0,0,,,3,0,,
2020-09-24,CA_NL,0,0,0,584,272,3,268,39543
2020-09-24,CA_NL_1011,0,0,,,248,3,,
2020-09-24,CA_NL_1012,0,0,,,14,0,,
2020-09-24,CA_NL_1013,0,0,,,4,0,,
2020-09-24,CA_NL_1014,0,0,,,6,0,,
2020-09-24,CA_NS,0,0,0,893,1087,65,1021,91089
2020-09-24,CA_NS_1201,0,0,,,56,1,,
2020-09-24,CA_NS_1202,0,0,,,67,1,,
2020-09-24,CA_NS_1203,0,0,,,54,5,,
2020-09-24,CA_NS_1204,0,0,,,910,58,,
2020-09-24,CA_NT,0,0,0,52,5,0,5,4354
2020-09-24,CA_NT_6101,0,0,,,5,0,,
2020-09-24,CA_ON,409,1,286,29632,48496,2836,41886,3560258
2020-09-24,CA_ON_3526,1,0,,,32,0,,
2020-09-24,CA_ON_3527,1,0,,,182,5,,
2020-09-24,CA_ON_3530,17,0,,,2089,181,,
2020-09-24,CA_ON_3533,0,0,,,133,0,,
2020-09-24,CA_ON_3534,0,0,,,489,32,,
2020-09-24,CA_ON_3535,0,0,,,236,33,,
2020-09-24,CA_ON_3536,14,0,,,1093,25,,
2020-09-24,CA_ON_3537,6,0,,,1100,46,,
2020-09-24,CA_ON_3538,0,0,,,52,5,,
2020-09-24,CA_ON_3539,0,0,,,127,5,,
2020-09-24,CA_ON_3540,0,0,,,366,2,,
2020-09-24,CA_ON_3541,2,0,,,122,0,,
2020-09-24,CA_ON_3542,0,0,,,344,25,,
2020-09-24,CA_ON_3543,2,0,,,376,52,,
2020-09-24,CA_ON_3544,1,0,,,825,57,,
2020-09-24,CA_ON_3546,4,0,,,1007,64,,
2020-09-24,CA_ON_3547,0,0,,,38,1,,
2020-09-24,CA_ON_3549,0,0,,,49,0,,
2020-09-24,CA_ON_3551,82,0,,,3919,280,,
2020-09-24,CA_ON_3553,23,0,,,9058,328,,
2020-09-24,CA_ON_3555,5,0,,,116,2,,
2020-09-24,CA_ON_3556,0,0,,,81,9,,
2020-09-24,CA_ON_3557,3,0,,,51,1,,
2020-09-24,CA_ON_3558,1,0,,,243,12,,
2020-09-24,CA_ON_3560,7,0,,,842,38,,
2020-09-24,CA_ON_3561,0,0,,,102,2,,
2020-09-24,CA_ON_3562,1,0,,,106,1,,
2020-09-24,CA_ON_3563,0,0,,,19,0,,
2020-09-24,CA_ON_3565,18,0,,,1671,120,,
2020-09-24,CA_ON_3566,2,0,,,625,37,,
2020-09-24,CA_ON_3568,3,0,,,2639,76,,
2020-09-24,CA_ON_3570,35,0,,,4001,254,,
2020-09-24,CA_ON_3575,0,0,,,263,5,,
2020-09-24,CA_ON_3595,168,0,,,18139,1178,,
2020-09-24,CA_PE,0,0,0,605,58,0,57,35466
2020-09-24,CA_PE_1100,0,0,,,58,0,,
2020-09-24,CA_QC,582,1,257,19051,69670,5810,59943,1426245
2020-09-24,CA_QC_2401,7,0,,,288,2,,
2020-09-24,CA_QC_2402,2,0,,,401,26,,
2020-09-24,CA_QC_2403,103,0,,,3351,206,,
2020-09-24,CA_QC_2404,10,0,,,2294,211,,
2020-09-24,CA_QC_2405,25,0,,,1641,30,,
2020-09-24,CA_QC_2406,247,0,,,32063,3477,,
2020-09-24,CA_QC_2407,36,0,,,1210,34,,
2020-09-24,CA_QC_2408,1,0,,,192,4,,
2020-09-24,CA_QC_2409,0,0,,,148,1,,
2020-09-24,CA_QC_2410,0,0,,,8,0,,
2020-09-24,CA_QC_2411,15,0,,,275,9,,
2020-09-24,CA_QC_2412,24,1,,,1060,14,,
2020-09-24,CA_QC_2413,29,0,,,6788,682,,
2020-09-24,CA_QC_2414,9,0,,,5103,223,,
2020-09-24,CA_QC_2415,20,0,,,4577,274,,
2020-09-24,CA_QC_2416,53,0,,,10198,617,,
2020-09-24,CA_QC_2417,0,0,,,19,0,,
2020-09-24,CA_QC_2418,0,0,,,13,0,,
